2017-02-26 17:22:21,686 [Thread-10] ERROR org.eclipse.jgit.util.FS - fatal: Could not switch to '/Applications/Xcode.app/Contents/Developer/usr/etc/': No such file or directory

2017-02-26 17:37:19,043 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-26 17:37:19,054 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/tylerlugger/Dropbox/School/CSCI4448/RoutineMe/RoutineMeApp/src/test/resources
2017-02-26 17:37:28,479 [main] INFO  o.e.m2e.actions.ExecutePomAction - Using existing launch configuration
2017-02-26 17:37:28,546 [Worker-7] INFO  o.e.m.i.launch.MavenLaunchDelegate - /Users/tylerlugger/Dropbox/School/CSCI4448/RoutineMe/RoutineMeApp
2017-02-26 17:37:28,547 [Worker-7] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B tomcat7:run
2017-02-26 17:38:31,866 [main] INFO  o.e.m2e.actions.ExecutePomAction - Using existing launch configuration
2017-02-26 17:38:31,931 [Worker-10] INFO  o.e.m.i.launch.MavenLaunchDelegate - /Users/tylerlugger/Dropbox/School/CSCI4448/RoutineMe/RoutineMeApp
2017-02-26 17:38:31,931 [Worker-10] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B tomcat7:run
2017-02-26 17:39:18,418 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-26 17:39:18,498 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-02-26 17:39:18,501 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-26 17:39:18,637 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/tylerlugger/Dropbox/School/CSCI4448/RoutineMe/RoutineMeApp/src/test/resources
